fen|mv|mv_score|bmv|bmv_score|difs
r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 1 4|g8f6|-162|d5e4|18|180
r1bqkb1r/ppp1pppp/2n2n2/8/3P4/2P2p2/PP1N2PP/R1BQKBNR w KQkq - 0 6|e4f3|6|e7e5|86|80
r2qkb1r/1pp1pppp/p1n2n2/1B3b2/3P4/2P2N2/PP1N2PP/R1BQK2R w KQkq - 0 8|a7a6|-94|d8d5|-15|79
r3kb1r/2p1pppp/p1p2n2/3qNb2/3P4/2P5/PP1N2PP/R1BQK2R w KQkq - 2 10|d8d5|-107|e7e6|-25|82
rnb1k1nr/ppp2ppp/3p1q2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|18|c3d5|169|151
rn2k1nr/pp3ppp/2pp1q2/4p3/2BPP1b1/2N1PN2/PPP3PP/R2QK2R b KQkq - 0 8|d3d4|-4|e1g1|45|49
rn2k2r/pp3ppp/2pp1q1n/8/2BPP1b1/2N2N1P/PPP3P1/R2QK2R b KQkq - 0 10|h2h3|-38|e1g1|139|177
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-118|g8f6|-43|75
r1b1k2r/pp1p1ppp/3b1n2/2p1q3/2Q5/8/PPPNBPPP/R1B1K2R w KQkq - 2 10|f8d6|59|d7d5|147|88
r1b2rk1/pp1p1ppp/3b1n2/2p1q3/2Q5/8/PPPNBPPP/R1B2RK1 w - - 4 11|e8g8|16|e5h2|1500|1484
r1b2rk1/pp1p1ppp/3b1n2/2p4q/2Q5/5N2/PPP1BPPP/R1B2RK1 w - - 6 12|e5h5|47|e5f5|94|47
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-127|g8f6|-61|66
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|16|g1f3|59|43
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|1|f1b5|53|52
r1bq1rk1/ppp2ppp/5n2/n1bPp3/2B5/P1NP1N2/1PP2PPP/R1BQ1RK1 b - - 0 8|a2a3|12|f3e5|222|210
r1b2rk1/ppp1qppp/5n2/2bPp3/2P5/P1N2N2/1PP1QPPP/R1B2RK1 b - - 2 10|d1e2|14|b2b4|263|249
r1b2rk1/ppp1qppp/3b1n2/3Pp3/2P1N3/P4N2/1PP1QPPP/R1B2RK1 b - - 4 11|c3e4|10|f1e1|136|126
r4rk1/ppp1qppp/3b1N2/3Ppb2/2P5/P4N2/1PP1QPPP/R1B2RK1 b - - 0 12|e4f6|45|e4g3|151|106
r2qkbnr/ppp1pppp/2n1b3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 1 4|c8e6|-163|e7e6|-84|79
r2qkbnr/ppp1pppp/2n1b3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5|d5c4|-342|g8f6|-158|184
r2qkbnr/ppp1p1pp/5p2/3Pn3/2p1PB2/2N2P2/PP3P1P/R2QKB1R w KQkq - 0 9|f7f6|-327|e5g6|-271|56
r2qkbnr/ppp1p2p/5p2/3Pn1p1/2p1PB2/2N2P1B/PP3P1P/R2QK2R w KQkq - 0 10|g7g5|-592|e5d3|327|919
r2qkbnr/pp2p2p/2p5/3Pp1p1/Q1p1P3/2N2P1B/PP3P1P/R3K2R w KQkq - 0 12|c7c6|-797|e8f7|-547|250
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3|f1c4|2|d2d4|51|49
rn1qkbnr/ppp2ppp/3p4/4p3/2B1P1b1/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4|b1c3|32|d2d4|75|43
rn1qkb1r/pp3ppp/5n2/3Bp3/8/2NP1Q1P/PPP2PP1/R1B1K2R b KQkq - 0 9|c4d5|137|c3d5|235|98
r2qk2r/pp3ppp/2nb4/3Np3/3P4/2P2Q1P/PP3PP1/R1B1K2R b KQkq - 0 12|d3d4|30|e1g1|117|87
rnbqkb1r/pppp1ppp/7n/3Q4/2B1P3/8/Pp3PPP/RNB1K1NR w KQkq - 2 6|g8h6|142|b2c1q|2743|2601
rnb1kb1r/ppppq1pp/8/3Q2p1/2B1P3/2N5/P3NPPP/5qK1 w kq - 0 11|a1f1|1524|a1b2|2158|634
rn1qkbnr/ppp2ppp/3p4/4p3/2B1P1b1/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4|f1c4|33|d2d4|77|44
