fen|mv|mv_score|bmv|bmv_score|difs
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2|d7d5|-77|d7d5|-60|17
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/8/PPPNPPPP/R1BQKBNR w KQkq - 2 3|b8c6|-54|g8f6|-30|24
r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 1 4|g8f6|-162|d5e4|18|180
r1bqkb1r/ppp1pppp/2n2n2/8/3Pp3/2P5/PP1N1PPP/R1BQKBNR w KQkq - 0 5|d5e4|28|d5e4|34|6
r1bqkb1r/ppp1pppp/2n2n2/8/3P4/2P2p2/PP1N2PP/R1BQKBNR w KQkq - 0 6|e4f3|6|e7e5|86|80
r2qkb1r/ppp1pppp/2n2n2/5b2/3P4/2P2N2/PP1N2PP/R1BQKB1R w KQkq - 1 7|c8f5|-36|g7g6|-27|9
r2qkb1r/1pp1pppp/p1n2n2/1B3b2/3P4/2P2N2/PP1N2PP/R1BQK2R w KQkq - 0 8|a7a6|-94|d8d5|-15|79
r2qkb1r/2p1pppp/p1p2n2/5b2/3P4/2P2N2/PP1N2PP/R1BQK2R w KQkq - 0 9|b7c6|-41|b7c6|-54|-13
r3kb1r/2p1pppp/p1p2n2/3qNb2/3P4/2P5/PP1N2PP/R1BQK2R w KQkq - 2 10|d8d5|-107|e7e6|-25|82
r3kb1r/2p1pppp/p1p2n2/4Nb2/3P4/2P2q2/PP1N2PP/R1B1K2R w KQkq - 0 11|d5f3|24|e7e6|22|-2
r3kb1r/2p1pppp/p1p2n2/4N3/3Pb3/2P2N2/PP4PP/R1B1K2R w KQkq - 1 12|f5e4|10|e7e6|21|11
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|3|g1f3|5|2
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|50|g1f3|36|-14
rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|94|f1c4|104|10
rnb1k1nr/pppp1ppp/5q2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4|b1c3|87|c2c3|122|35
rnb1k1nr/ppp2ppp/3p1q2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|18|c3d5|169|151
rnb1k1nr/pp3ppp/2pp1q2/2b1p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R b KQkq - 1 6|c1e3|-8|a2a3|0|8
rnb1k1nr/pp3ppp/2pp1q2/4p3/2B1P3/2NPPN2/PPP3PP/R2QK2R b KQkq - 0 7|f2e3|-3|f2e3|0|3
rn2k1nr/pp3ppp/2pp1q2/4p3/2BPP1b1/2N1PN2/PPP3PP/R2QK2R b KQkq - 0 8|d3d4|-4|e1g1|45|49
rn2k1nr/pp3ppp/2pp1q2/8/2BPP1b1/2N2N2/PPP3PP/R2QK2R b KQkq - 0 9|e3d4|64|e3d4|62|-2
rn2k2r/pp3ppp/2pp1q1n/8/2BPP1b1/2N2N1P/PPP3P1/R2QK2R b KQkq - 0 10|h2h3|-38|e1g1|139|177
rn2k2r/pp3ppp/2pp1q1n/8/2BPP3/2N2P1P/PPP5/R2QK2R b KQkq - 0 11|g2f3|30|g2f3|0|-30
rn3rk1/pp3ppp/2pp1q1n/8/2BPP3/2NQ1P1P/PPP5/R3K2R b KQ - 2 12|d1d3|54|d1d3|47|-7
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-50|e7e5|-96|-46
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3|b8c6|-62|b8c6|-66|-4
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4|e5d4|-63|e5d4|-74|-11
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5|c6d4|-118|g8f6|-43|75
r1bqkbnr/pp1p1ppp/8/2p5/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 0 6|c7c5|-144|d8f6|-142|2
r1bqkb1r/pp1p1ppp/5n2/2p5/2Q1P3/8/PPP2PPP/RNB1KB1R w KQkq - 2 7|g8f6|-135|d7d6|-128|7
r1b1kb1r/pp1pqppp/5n2/2p1P3/2Q5/8/PPP2PPP/RNB1KB1R w KQkq - 1 8|d8e7|-60|d7d5|-35|25
r1b1kb1r/pp1p1ppp/5n2/2p1q3/2Q5/8/PPPN1PPP/R1B1KB1R w KQkq - 0 9|e7e5|139|e7e5|138|-1
r1b1k2r/pp1p1ppp/3b1n2/2p1q3/2Q5/8/PPPNBPPP/R1B1K2R w KQkq - 2 10|f8d6|59|d7d5|147|88
r1b2rk1/pp1p1ppp/3b1n2/2p1q3/2Q5/8/PPPNBPPP/R1B2RK1 w - - 4 11|e8g8|16|e5h2|1500|1484
r1b2rk1/pp1p1ppp/3b1n2/2p4q/2Q5/5N2/PPP1BPPP/R1B2RK1 w - - 6 12|e5h5|47|e5f5|94|47
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2|e7e5|-81|e7e5|-75|6
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3|b8c6|-102|b8c6|-69|33
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4|f8c5|-127|g8f6|-61|66
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5|g8f6|-15|g8f6|-44|-29
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w - - 3 6|e8g8|-58|h7h6|-59|-1
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 7|d7d6|-41|h7h6|-35|6
r1bq1rk1/ppp2pp1/2np1n1p/2b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 w - - 0 8|h7h6|-51|h7h6|-57|-6
r1b2rk1/ppp2pp1/2np1q1p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 w - - 0 9|d8f6|-31|d8f6|-34|-3
r1bq1rk1/ppp2pp1/2np3p/2bNp3/2B1P3/3P1N2/PPP2PPP/R2Q1RK1 w - - 2 10|f6d8|-19|f6d8|-27|-8
r1bq1rk1/ppp2pp1/3p3p/2bNp3/2BnP3/3P1N1P/PPP2PP1/R2Q1RK1 w - - 1 11|c6d4|-41|c6d4|-42|-1
r1bq1rk1/ppp2pp1/3p3p/3Np3/2BbP3/3P3P/PPP2PP1/R2Q1RK1 w - - 0 12|c5d4|-56|c5d4|-59|-3
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|36|g1f3|-7|-43
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|16|g1f3|59|43
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3|f1c4|1|f1b5|53|52
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4|b1c3|-14|e1g1|-65|-51
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|-12|d2d3|-8|4
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 2 6|e1g1|-22|c3d5|-7|15
r1bq1rk1/ppp2ppp/2n2n2/2bPp3/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 0 7|e4d5|114|c3d5|149|35
r1bq1rk1/ppp2ppp/5n2/n1bPp3/2B5/P1NP1N2/1PP2PPP/R1BQ1RK1 b - - 0 8|a2a3|12|f3e5|222|210
r1bq1rk1/ppp2ppp/5n2/2bPp3/2P5/P1N2N2/1PP2PPP/R1BQ1RK1 b - - 0 9|d3c4|131|d3c4|110|-21
r1b2rk1/ppp1qppp/5n2/2bPp3/2P5/P1N2N2/1PP1QPPP/R1B2RK1 b - - 2 10|d1e2|14|b2b4|263|249
r1b2rk1/ppp1qppp/3b1n2/3Pp3/2P1N3/P4N2/1PP1QPPP/R1B2RK1 b - - 4 11|c3e4|10|f1e1|136|126
r4rk1/ppp1qppp/3b1N2/3Ppb2/2P5/P4N2/1PP1QPPP/R1B2RK1 b - - 0 12|e4f6|45|e4g3|151|106
r1bqkbnr/pppppppp/2n5/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2|b8c6|-97|e7e6|-75|22
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3|d7d5|-97|d7d5|-102|-5
r2qkbnr/ppp1pppp/2n1b3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 1 4|c8e6|-163|e7e6|-84|79
r2qkbnr/ppp1pppp/2n1b3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5|d5c4|-342|g8f6|-158|184
r2qkbnr/ppp1pppp/2n5/8/2pPP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6|e6g4|-247|e6g4|-218|29
r2qkbnr/ppp1pppp/2n5/3P4/2p1P3/2N2b2/PP3PPP/R1BQKB1R w KQkq - 0 7|g4f3|-262|c6e5|-257|5
r2qkbnr/ppp1pppp/8/3Pn3/2p1P3/2N2P2/PP3P1P/R1BQKB1R w KQkq - 1 8|c6e5|-276|c6e5|-300|-24
r2qkbnr/ppp1p1pp/5p2/3Pn3/2p1PB2/2N2P2/PP3P1P/R2QKB1R w KQkq - 0 9|f7f6|-327|e5g6|-271|56
r2qkbnr/ppp1p2p/5p2/3Pn1p1/2p1PB2/2N2P1B/PP3P1P/R2QK2R w KQkq - 0 10|g7g5|-592|e5d3|327|919
r2qkbnr/ppp1p2p/8/3Pp1p1/2p1P3/2N2P1B/PP3P1P/R2QK2R w KQkq - 0 11|f6e5|-594|f6e5|-614|-20
r2qkbnr/pp2p2p/2p5/3Pp1p1/Q1p1P3/2N2P1B/PP3P1P/R3K2R w KQkq - 0 12|c7c6|-797|e8f7|-547|250
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|34|g1f3|-11|-45
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|37|g1f3|17|-20
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3|f1c4|2|d2d4|51|49
rn1qkbnr/ppp2ppp/3p4/4p3/2B1P1b1/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 3 4|b1c3|32|d2d4|75|43
rn1qkb1r/ppp2ppp/3p1n2/4p3/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|12|h2h3|47|35
rn1qkb1r/pp3ppp/2pp1n2/4p3/2B1P1b1/2NP1N1P/PPP2PP1/R1BQK2R b KQkq - 0 6|h2h3|30|h2h3|32|2
rn1qkb1r/pp3ppp/2pp1n2/4p3/2B1P3/2NP1Q1P/PPP2PP1/R1B1K2R b KQkq - 0 7|d1f3|83|d1f3|60|-23
rn1qkb1r/pp3ppp/2p2n2/3Pp3/2B5/2NP1Q1P/PPP2PP1/R1B1K2R b KQkq - 0 8|e4d5|180|e4d5|160|-20
